Token0 ID,Token0 Name,Token0 Symbol,Token0 Decimals,Token1 ID,Token1 Name,Token1 Symbol,Token1 Decimals,Uniswap Pool ID,Camelot Pool ID,Uniswap TVL (USD),Camelot TVL (USD),Uniswap Fee,Camelot Fee,Token0 to USDT Price,Token1 to USDT Price,ETH_USDT
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xf18e4466f26b4ca55bbab890b314a54976e45b17,Game7,G7,18,0x58798248ea5b784125f6a4025c4cd861077f2c50,0x73aa880a24a9abb2cdfadf8f8d07d0f17f3e9c9c,561.112331301843,66.28848194867417,10000,5175,1559.4048992778946,0.003780140636297562,
0x539bde0d7dbd336b79148aa742883198bbf60342,MAGIC,MAGIC,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x59d72ddb29da32847a4665d08ffc8464a7185fae,0x1106db7165a8d4a8559b441ecdee14a5d5070dbc,42180.994297689365,31987.05102673452,3000,2750,0.0747866362402182,1559.4048992778946,
0x4186bfc76e2e237523cbc30fd220fe055156b41f,KelpDao Restaked ETH,rsETH,18,0x5979d7b546e38e414f7e9822514be443a4800529,Wrapped liquid staked Ether 2.0,wstETH,18,0x5baf59a6e6df0ee95bce8c43daa05b288e340e7d,0xec883424202a963af2a3e59bccaa0219e88ab9db,41219.98626231423,489552.09584117023,500,50,1620.454783470579,1866.7233096512587,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,USDT,6,0x641c00a822e8b671738d32a431a4fb6074e5c79d,0x7cccba38e2d959fe135e79aebb57ccb27b128358,9761078.087413762,150003.36740131915,500,100,1559.4048992778946,0.9999601238526605,
0x1b7ad346b6ff2d196daa8e78aed86baa6d7e3b02,Vitalik Ai,VITAI,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x663403cecd5a74bcaba0d1c73d1b929f35a8f003,0x2db564ddffadfc645da6d0dc5c5d2dba0ce59205,180.9908070013668,31593.767807055745,10000,3010,0.00032756697453736384,1559.4048992778946,
0x057ba66c2109fd4487f0781e0203b71fd77a6341,SERVICE,SRV,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x6d1b2220f8e7c2aa4c0790cc17d358d1384b8659,0xf0002ca4e630d157049a39278573ce3c8036299d,6641.145314427044,16080.645114527671,3000,4172,0.002905648012568338,1559.4048992778946,
0x5979d7b546e38e414f7e9822514be443a4800529,Wrapped liquid staked Ether 2.0,wstETH,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x7103b8f34473c7812818c55eb127d1f590f67d84,0xdeb89de4bb6ecf5bfed581eb049308b52d9b2da7,2715.210361480345,732948.0552313542,3000,50,1866.7233096512587,1559.4048992778946,
0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,AIDOGE,AIDOGE,6,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x71414d79633910bbae5137e8dc152240db8cb5a0,0xe726c97afcbbbfcae8dbc21877d184dbb2c11f6d,498.4385091293096,1939.692742513137,10000,4594,6.957535956162044e-11,1559.4048992778946,
0x3d9907f9a368ad0a51be60f7da3b97cf940982d8,Camelot token,GRAIL,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x7244bcf6226077c393b7c98c0cec6c8c3ce9427e,0x60451b6ac55e3c5f0f3aee31519670ecc62dc28f,120.94688986285904,175171.3922512922,10000,11421,425.8365552766343,1559.4048992778946,
0x7f9fbf9bdd3f4105c478b996b648fe6e828a1e98,ApeCoin,APE,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x7bfe20d25e87fb5b8ff08c51b2843a5ac2110360,0x4b0495c5f5147051ba5fa025424d393d343d10bf,1309.3166779475,198578.91277046516,10000,5000,0.4174720425115491,1559.4048992778946,
